team.name,city,state
DET,Detroit,Michigan
CLE,Cleveland,Ohio
NO,New Orleans,Louisiana
WSH,Washington D.C.,Washington D.C.
PHI,Philadelphia,Pennsylvania
CHI,Chicago,Illinois
UTAH,Salt Lake City,Utah
CHA,Charlotte,North Carolina
IND,Indianapolis,Indiana
DEN,Denver,Colorado
NY,New York,New York
SA,San Antonio,Texas
DAL,Dallas,Texas
LAC,Los Angeles,California
MIN,Minneapolis,Minnesota
MEM,Memphis,Tennessee
ATL,Atlanta,Georgia
MIA,Miami,Florida
OKC,Oklahoma City,Oklahoma
TOR,Toronto,Canada
BKN,Brooklyn,New York
GS,Oakland,California
LAL,Los Angeles,California
POR,Portland,Oregon
PHX,Phoenix,Arizona
SAC,Sacramento,California
HOU,Houston,Texas
MIL,Milwaukee,Wisconsin
ORL,Orlando,Florida
BOS,Boston,Massachusetts
