team.name,city,state
GB,Green Bay,Wisconsin
NO,New Orleans,Louisiana
MIN,Minneapolis,Minnesota
CLE,Cleveland,Ohio
JAX,Jacksonville,Florida
OAK,Oakland,California
CIN,Cincinnati,Ohio
BUF,Buffalo,New York
WSH,Washington D.C.,Washington D.C.
TEN,Nashville,Tennessee
NE,Boston,Massachusetts
CAR,Charlotte,North Carolina
SF,San Francisco,California
IND,Indianapolis,Indiana
NYG,New York,New York
SD,San Diego,California
PIT,Pittsburgh,Pennsylvania
DET,Detroit,Michigan
MIA,Miami,Florida
DAL,Dallas,Texas
ARI,Phoenix,Arizona
ATL,Atlanta,Georgia
STL,St. Louis,Missouri
SEA,Seattle,Washington
HOU,Houston,Texas
NYJ,New York,New York
KC,Kansas City,Missouri
CHI,Chicago,Illinois
PHI,Philadelphia,Pennsylvania
TB,Tampa,Florida
BAL,Baltimore,Maryland
DEN,Denver,Colorado
